row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
3,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.2255931876076351
5,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.06960638086266151
17,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.290120046248889
19,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.3460724383654711
21,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.14750919167500884
6,ArcFace,VGG-Face,lfw_pairs,dodging_attack,IDAA,vanilla,0.3704050527250658
9,ArcFace,VGG-Face,lfw_pairs,dodging_attack,IDAA,vanilla,0.23459658059267338
15,ArcFace,VGG-Face,lfw_pairs,dodging_attack,IDAA,vanilla,0.24932191421864797
16,ArcFace,VGG-Face,lfw_pairs,dodging_attack,IDAA,vanilla,0.2878525192510449
23,ArcFace,VGG-Face,lfw_pairs,dodging_attack,IDAA,vanilla,0.3317115341464471
18,ArcFace,VGG-Face,celeba_pairs,dodging_attack,IDAA,vanilla,0.2233481222608247
27,ArcFace,VGG-Face,celeba_pairs,dodging_attack,IDAA,vanilla,0.20731836044599006
28,ArcFace,VGG-Face,celeba_pairs,dodging_attack,IDAA,vanilla,0.5556243119740233
30,ArcFace,VGG-Face,celeba_pairs,dodging_attack,IDAA,vanilla,0.05154115196011994
33,ArcFace,VGG-Face,celeba_pairs,dodging_attack,IDAA,vanilla,0.47840739419971917
1,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,IDAA,vanilla,0.20308722108411462
4,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,IDAA,vanilla,0.23640840545808164
7,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,IDAA,vanilla,0.16157904270287787
10,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,IDAA,vanilla,0.29442779026644145
11,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,IDAA,vanilla,0.3079149568999931
